Designator,Mid X,Mid Y,Rotation,Layer
C1,135.4,-100.6,180.0,bottom
C2,135.4,-102.3,180.0,bottom
J1,140.03,-93.12,180.0,top
J2,139.6,-105.74,0.0,top
R1,136.1,-97.5875,270.0,bottom
R2,137.7,-97.6,270.0,bottom
R3,140.9,-97.5875,90.0,bottom
R4,139.3,-97.6,270.0,bottom
R5,142.5,-97.6,270.0,bottom
R6,144.1,-97.6,270.0,bottom
R7,145.7,-97.6,270.0,bottom
