Designator,Mid X,Mid Y,Rotation,Layer
C2,159.5,-92.0,270.0,top
D1,135.325,-88.2,180.0,bottom
D2,183.7,-88.2,0.0,bottom
J1,159.5,-86.8,0.0,top
R1,146.8125,-88.2,0.0,top
R2,127.2875,-88.2,0.0,top
R3,174.1,-88.2,0.0,top
R4,193.5875,-88.2,0.0,top
R5,140.7,-88.2,0.0,bottom
R6,178.3125,-88.2,180.0,bottom
U1,147.8,-92.2,90.0,top
U2,128.35,-92.2,90.0,top
U3,171.15,-92.2,270.0,top
U4,190.65,-92.2,270.0,top
