Designator,Footprint,Quantity,Value,LCSC Part #
C2,0603,1,0.1u,
"D1, D2",0603,2,LED_Small,
J1,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,1,PH_8p,
"R1, R2, R3, R4",0603,4,4.7,
"R5, R6",0603,2,R_Small,
"U1, U2, U3, U4",LBR-127HLD,4,LBR-127HLD,
