Designator,Footprint,Quantity,Value,LCSC Part #
C2,0603,1,0.1u,
"D1, D2",0603,2,LED_Small,
J2,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,PH_5p,
R1,0603,1,4.7,
"R3, R4",0603,2,R_Small,
U1,LBR-127HLD,1,LBR-127HLD,
